Country,Theme,ProjectTitle,ProjectUrl,ProjectDescription
Afghanistan,poverty_reduction,National Area-Based Development Programme (NABDP) ,/content/afghanistan/en/home/operations/projects/poverty_reduction/nabdp.html,"Achieving a significant reduction in poverty in Afghanistan requires a strong focus on agriculture and rural employment generation, the promotion of sustainable livelihoods and the development of rural infrastructure.\n\nThe National Area-Based Development Programme (NABDP) is a joint initiative of the Ministry of Rural Rehabilitation and Development (MRRD) and UNDP."
Afghanistan,democratic_governance,Making Budgets and Aid Work (MBAW),/content/afghanistan/en/home/operations/projects/democratic_governance/mbaw.html,"UNDP’s Making Budgets and Aid Work (MBAW) project provides technical assistance to the Ministry of Finance to develop institutional capacity for improved budget planning and management, policy and strategy development, including aid coordination, for better service delivery. The project strengthens the link between the Afghanistan National Development Strategy, the National Priority Programmes and the national budget."
Afghanistan,democratic_governance,Afghanistan Subnational Governance Programme (ASGP),/content/afghanistan/en/home/operations/projects/democratic_governance/asgp.html,"ASGP is Afghanistan’s only comprehensive subnational governance programme, operating in all 34 provinces and supporting key provincial, district and municipal bodies, as well as the Government’s Independent Directorate of Local Governance (IDLG). ASGP is fully aligned with the Government’s strategic vision of subnational governance, endorsed by the donor community, and presented in the National Priority Programme for Local Governance (NPPLG) and the Afghanistan National Development Strategy."
Afghanistan,democratic_governance,National Institution Building Project (NIBP) ,/content/afghanistan/en/home/operations/projects/democratic_governance/nibp.html,"To bolster the Government of Afghanistan’s ability to effectively deliver public services to its citizens, UNDP launched the National Institution Building Project (NIBP) in 2010.  Through the project, key Afghan civil servants at the national and sub-national levels improved their skills with the assistance of regional and international experts. NIBP directly supports 15 ministries and Government institutions and the Independent Administrative Reform and Civil Service Commission, its main government partner."
Afghanistan,democratic_governance,Enhancing Legal And Electoral Capacity For Tomorrow (ELECT II),/content/afghanistan/en/home/operations/projects/democratic_governance/elect.html,"ELECT is the primary mechanism for international technical support to the electoral process in Afghanistan. ELECT II is the successor project to ELECT I (2006-2011). During the most recent elections in Afghanistan, the 2010 Wolesi Jirga (lower house of parliament) elections, while the Afghan electoral management bodies assumed responsibility for all major decisions associated with the electoral process, ELECT I performed a technical and operational supporting role. Despite considerable operational challenges and a complex political environment, the Afghan electoral management bodies sought to fulfill their Constitutional mandate to deliver a technically sound election, underscoring the need for the independence and integrity of the electoral authorities in order to maintain voter’s trust in the electoral process."
Afghanistan,crisis_prevention_and_recovery,Afghanistan Peace & Reintegration Programme (APRP),/content/afghanistan/en/home/operations/projects/crisis_prevention_and_recovery/aprp.html,"Through dialogue and reconciliation, the Government has extended an open hand to the Anti Government Elements (AGEs) though the Afghanistan Peace and Reintegration Programme (APRP), offering them a dignified and respectful way to renounce violence, to peacefully reintegrate into their communities and to separate themselves from their past while building a future for themselves, their families, and community."
Afghanistan,crisis_prevention_and_recovery,Justice and Human Rights in Afghanistan (JHRA),/content/afghanistan/en/home/operations/projects/crisis_prevention_and_recovery/jhra.html,"The JHRA Project supports the overall strategy of Government to increase the Afghan public’s trust in State justice institutions. By contributing to the National Priority Programs (NPP) 5 on “Access to Justice for All” and 6 on “Human Rights and Civic Responsibilities”, JHRA seeks to provide necessary foundation for the re-establishment of State legitimacy between the Afghan State and its people."
Afghanistan,crisis_prevention_and_recovery,Law and Order Trust Fund for Afghanistan (LOTFA),/content/afghanistan/en/home/operations/projects/crisis_prevention_and_recovery/lotfa.html,"In recognition of the need to build the police force, in May 2002, at the request of the Afghan Government and the United Nations Assistance Mission for Afghanistan (UNAMA), UNDP established LOTFA. The project supports payment of police salaries, acquisition of equipment, training and gender enhancement in the Afghan National Police."
Afghanistan,environment_and_energy,Global Environment Facility - Small Grants Programme,/content/afghanistan/en/home/operations/projects/environment_and_energy/gepsgp.html,"Launched in 1992, the Global Environment Facility-Small Grants Programme (GEF-SGP) SGP addresses  global environmental problems with a people-centred approach that benefits local people and generates direct community benefits and ownership. GEF-SGP in Afghanistan provides support to various types of Civil Society Organizations (CSOs), including Community Based Organizations (CBOs), indigenous peoples organizations, women’s organizations and non-governmental organizations (NGOs) in the GEF focal areas of Biodiversity, Climate Change, Land Degradation, Sustainable Forest Management, International Waters and Elimination of Harmful Chemicals."
Afghanistan,womens_empowerment,Gender Equality Project II (GEP II),/content/afghanistan/en/home/operations/projects/womens_empowerment/gepii.html,"\nThe Gender Equality Project II focuses on three major areas or problems that Afghan women currently face; first, lack or weak support provides to women’s right through policies and legal documents of Afghanistan; Second, feeble participation of women in the economic activities of country; this has resulted in women dependency economically on other family members.  \n"
Albania,poverty_reduction,Empowering Vulnerable Local Communities – UN Joint Programme ,/content/albania/en/home/operations/projects/poverty_reduction/empowering-vulnerable-local-communities--un-joint-programme-.html,"Roma and Egyptian communities are both the poorest and most marginalized ethnic groups in Albania. According to a needs assessment study initiated by UNDP, 77.7% of Roma and 84.1% of Egyptian families are very poor."
Albania,poverty_reduction,Promoting Disability Rights in Albania,/content/albania/en/home/operations/projects/poverty_reduction/disability.html,"UNDP in  partnership with the Government of Albania and the civil society, seeks to assist Albania with complying with the Convention of Rights of People with Disabilities requirements and moving forward towards the social inclusion of persons with disabilities. More specifically, UNDP has been providing support to ensure that: "
Albania,poverty_reduction,Gender Equality and Gender-Based Violence Programme ,/content/albania/en/home/operations/projects/poverty_reduction/gender-equality-and-gender-based-violence-programme-.html,"In recent years Albania has improved the status of women and promoted gender equality. However, the country still faces many challenges in terms of fully displaying and utilising the women’s potential in the labour market and economy, increasing participation in decision-making and eradicating the widespread violence against women, particularly in the family realm."
Albania,poverty_reduction,Supporting Social Inclusion of Roma and Egyptian Communities,/content/albania/en/home/operations/projects/poverty_reduction/supporting-social-inclusion-of-roma-and-egyptian-communities.html,"Roma and Egyptians are facing a level of poverty estimated three times higher than that of the other parts of population in Albania, due to long-standing social exclusion. "
Albania,poverty_reduction,Addressing Social Inclusion Through Vocational Education and Training,/content/albania/en/home/operations/projects/poverty_reduction/addressing-social-inclusion-through-vocational-education-and-tra.html,"Different population groups experience different and overlapping vulnerabilities or face different barriers, as result of the diverse nature of the socio-economic and political forces that determine social exclusion."
Albania,poverty_reduction,Local Level Responses to the Youth Employment Challenge,/content/albania/en/home/operations/projects/poverty_reduction/local-level-responses-to-the-youth-employment-challenge.html,"Youth unemployment, under-employment and informality impose heavy costs on the Albanian economy and society. Long unemployment spells early in life and extended employment in the informal economy affect the prospects of youth to secure a career job, a decent wage and a future for them and their families."
Albania,poverty_reduction,Empowering civil society in rural & remote areas – ECSRA,/content/albania/en/home/operations/projects/poverty_reduction/empowering-civil-society-in-rural---remote-areas--ecsra.html,"”Delivering as One” programme  approved by the Government of Albania in October 2007, identifies civil society strengthening as an integral part of the work of UN organizations in the country. Moreover, the Common Country Programme Document (CCPD) for Albania 2012-2016 highlights the importance of strengthening the engagement of civil society with the state, to ensure government accountability and transparency, as well as to raise awareness and advocate for the promotion of human rights and access to justice."
Albania,poverty_reduction,Culture and Heritage for Social and Economic Development,/content/albania/en/home/operations/projects/poverty_reduction/culture-and-heritage-for-social-and-economic-development.html,"Albania has been described as the last secret of Europe. Almost unknown internationally, its rich and diverse cultural heritage could constitute the core of a new development paradigm. "
Albania,poverty_reduction,The UN Support to Social Inclusion Initiative in Albania ,/content/albania/en/home/operations/projects/poverty_reduction/the-un-support-to-social-inclusion-initiative-in-albania-.html,The project “Support to Social Inclusion in Albania” aims to assist  in the effective elaboration and implementation of the Government of Albania's new Strategy for Social Inclusion and Social Protection. It supports the Albanian Government to prepare an extended dialogue with social partners in the country  and  the European Commission.
Albania,democratic_governance,Strengthening Anti-corruption Implementation Capacities Through the UNCAC Self-Assessment Process,/content/albania/en/home/operations/projects/democratic_governance/anti-corruption.html,"The implementation of the United Nations Convention Against Corruption requires the proper gathering and analysis of data and information on de jure and de facto compliance gaps, and related technical assistance needs."
Albania,democratic_governance,Supporting the Government of Albania to Improve ICT Infrastructure and e-Services,/content/albania/en/home/operations/projects/democratic_governance/ict.html,"UNDP Albania has since 2002 worked closely with the Government of Albania to support the country’s transition to an Information Society through ICT development, thus playing a pivotal role in enabling the government to succeed in a variety of initiatives. "
Albania,democratic_governance,Support to the Implementation of Best Practices in Electoral Dispute Resolution,/content/albania/en/home/operations/projects/democratic_governance/elections.html,"Free and fair elections represent another opportunity for Albania to demonstrate its commitment to democratic practices and values, and an important step for Albania’s further integration into the European Union. "
Albania,democratic_governance,Support to Implementation of Paris Declaration,/content/albania/en/home/operations/projects/democratic_governance/nsdi.html,"As Albania strives for its integration into European Union, it has invested over the past years to strengthen its ability to make strategic plans, coordinate its resource mobilization and delivery efforts across Government institutions."
Albania,environment_and_energy,Protecting Albania's marine and coastal biodiversity,/content/albania/en/home/operations/projects/environment_and_energy/protecting-albania-s-marine-and-coastal-biodiversity.html,"The impact of climate change is seen in: rising sea levels, changing ecosystems in lagoons, increased frequency and intensity of floods, introduction of alien and invasive species from warmer regions, and a decrease in some marine and coastal populations of fish and invertebrates."
Albania,environment_and_energy,Coordination and monitoring of humanitarian mine action for UXO/ERW hotspots clearance ,/content/albania/en/home/operations/projects/environment_and_energy/coordination-and-monitoring-of-humanitarian-mine-action-for-uxo-.html,"Unexploded ordnance (UXO) and explosive remnants of war (ERW) contamination remain a widespread problem in Albania. Among the causes of such contamination are explosions at Ammunition Storage Sites (ASS) across the country during the civil unrest in 1997, unexploded remains of the WW II as well as former army ammunition demolition areas which need to be cleared of explosive remnants."
Albania,environment_and_energy,Identification and Implementation of Adaptation Response Measures in the Drini - Mati River Deltas,/content/albania/en/home/operations/projects/environment_and_energy/identification-and-implementation-of-adaptation-response-measure.html,"The Drini-Mati River Deltas (DMRD) coastline and lowlands are approximately 25km long between the headlands of Shëngjini and Cape Rodonit. These two deltas form a contiguous wetland area of global significance. They comprise a suite of integrated habitats, including beaches, lagoons and saltmarshes, with high environmental and economic values"
